"munResCod";"munResStatus";"munResTipo";"munResNome";"munResUf";"munResLat";"munResLon";"munResAlt";"munResArea"
150340;"ATIVO";"MUNIC";"Inhangapi";"Pará";-1,42658;-47,91339;4;471,449
150345;"ATIVO";"MUNIC";"Ipixuna do Pará";"Pará";-2,55753;-47,49972;46;5215,555
150350;"ATIVO";"MUNIC";"Irituia";"Pará";-1,77148;-47,44076;17;1379,362
150360;"ATIVO";"MUNIC";"Itaituba";"Pará";-4,26373;-55,99005;25;62042,302
150370;"ATIVO";"MUNIC";"Itupiranga";"Pará";-5,12884;-49,32443;89;7880,109
150375;"ATIVO";"MUNIC";"Jacareacanga";"Pará";-6,22355;-57,76634;92;53304,213
150380;"ATIVO";"MUNIC";"Jacundá";"Pará";-4,44841;-49,11278;117;2008,315
150390;"ATIVO";"MUNIC";"Juruti";"Pará";-2,15525;-56,095;26;8305,454
150400;"ATIVO";"MUNIC";"Limoeiro do Ajuru";"Pará";-1,89195;-49,38153;8;1490,186
150405;"ATIVO";"MUNIC";"Mãe do Rio";"Pará";-2,04771;-47,55229;41;469,492
150410;"ATIVO";"MUNIC";"Magalhães Barata";"Pará";-0,79585;-47,59918;23;325,265
150420;"ATIVO";"MUNIC";"Marabá";"Pará";-5,35261;-49,14203;84;15128,061
150430;"ATIVO";"MUNIC";"Maracanã";"Pará";-0,76242;-47,45527;21;855,664
150440;"ATIVO";"MUNIC";"Marapanim";"Pará";-0,71215;-47,70255;10;795,987
150442;"ATIVO";"MUNIC";"Marituba";"Pará";-1,34642;-48,34054;14;103,343
150445;"ATIVO";"MUNIC";"Medicilândia";"Pará";-3,44542;-52,88835;129;8272,629
150450;"ATIVO";"MUNIC";"Melgaço";"Pará";-1,80345;-50,71746;9;6774,018
150460;"ATIVO";"MUNIC";"Mocajuba";"Pará";-2,58287;-49,50902;15;870,809
150470;"ATIVO";"MUNIC";"Moju";"Pará";-1,88589;-48,7672;14;9094,135
150475;"ATIVO";"MUNIC";"Mojuí dos Campos";"Pará";-2,68168;-54,65109;91;4988,236
150480;"ATIVO";"MUNIC";"Monte Alegre";"Pará";-2,00333;-54,07337;67;18152,56
150490;"ATIVO";"MUNIC";"Muaná";"Pará";-1,53003;-49,21683;6;3763,199
150495;"ATIVO";"MUNIC";"Nova Esperança do Piriá";"Pará";-2,26763;-46,96209;72;2809,319
150497;"ATIVO";"MUNIC";"Nova Ipixuna";"Pará";-4,92309;-49,07989;113;1564,184
150500;"ATIVO";"MUNIC";"Nova Timboteua";"Pará";-1,20414;-47,3932;48;489,853
150503;"ATIVO";"MUNIC";"Novo Progresso";"Pará";-7,03484;-55,41987;224;38162,123
150506;"ATIVO";"MUNIC";"Novo Repartimento";"Pará";-4,24815;-49,94864;95;15398,715
